"cod_cent";"id";"nombre";"tipo_elem";"st_x";"st_y"
"PM40752";7131;"PM40752";"M-30";444530.319969902;4474556.78106642
"PM40753";3827;"PM40753";"M-30";443631.812671147;4474840.22434022
"PM32051";6781;"PM32051";"M-30";437404.581961033;4476520.00854064
"PM32351";6782;"PM32351";"M-30";436942.46756279;4478782.98783293
"PM41802";6936;"PM41802";"M-30";437038.162874071;4473527.98262187
"PM32352";3496;"PM32352";"M-30";436952.692102875;4478789.02116571
"PM33031";6783;"PM33031";"M-30";440759.321249039;4483420.02844429
"PM33032";6784;"PM33032";"M-30";440766.9259864;4483417.25959299
"PM33151";6785;"PM33151";"M-30";442035.756596347;4481561.29793131
"PM33152";6786;"PM33152";"M-30";442027.528998206;4481563.03948952
"PM33201";6787;"PM33201";"M-30";444174.766802089;4481778.73533492
"PM33202";6788;"PM33202";"M-30";444172.675269963;4481769.5412791
"PM33221";6932;"PM33221";"M-30";443107.578182311;4481909.51042405
"PM30461";3837;"PM30461";"M-30";444425.260921413;4477663.76059837
"PM30462";3539;"PM30462";"M-30";444218.054791074;4477471.73148409
"PM30471";3536;"PM30471";"M-30";444242.134187443;4477198.40201249
"PM30472";6819;"PM30472";"M-30";444228.689955946;4477295.59358584
"PM40952";10203;"PM40952";"M-30";445006.937103486;4472679.40398156
"PM30752";3495;"PM30752";"M-30";444576.77164371;4474515.40724967
"PM30753";3561;"PM30753";"M-30";444575.254228373;4474507.38805217
"PM30901";3600;"PM30901";"M-30";443752.552707089;4473265.01733002
"PM40755";3826;"PM40755";"M-30";444529.59862675;4474550.79995005
"PM40901";6791;"PM40901";"M-30";443757.222911013;4473275.90759995
"PM41452";6793;"PM41452";"M-30";438971.293986432;4469272.66553701
"PM43151";6807;"PM43151";"M-30";442010.128613071;4481567.55528682
"PM43152";6808;"PM43152";"M-30";442001.342463401;4481567.77741024
"PM43041";10210;"PM43041";"M-30";442068.627815105;4485420.44716952
"PM41454";10211;"PM41454";"M-30";437554.866462655;4469427.50321568
"PM41192";10268;"PM41192";"M-30";442130.998090238;4470745.26965662
"PM10486";3817;"PM10486";"M-30";444028.034340025;4477385.71252116
"PM13107";10270;"PM13107";"M-30";441775.23530961;4481827.33765391
"90ET09PM01";6888;"90ET09PM01";"M-30";441914.713381866;4470322.18830272
"PM20972";6754;"PM20972";"M-30";443516.097945796;4472768.67847158
"PM20152";6716;"PM20152";"M-30";443197.939494491;4480469.95393578
"PM20231";6717;"PM20231";"M-30";443458.139361046;4479960.48595725
"PM20232";6718;"PM20232";"M-30";443482.234653403;4479964.80427787
"PM41453";6823;"PM41453";"M-30";439190.904035172;4470907.33344407
"PM20233";6719;"PM20233";"M-30";443473.619184454;4479961.25567167
"PM10768";6668;"PM10768";"M-30";444111.275243369;4474538.63253522
"PM20976";6755;"PM20976";"M-30";443508.907016944;4472769.58991005
"PM10948";7124;"PM10948";"M-30";443546.691070271;4473105.72923431
"PM41851";6937;"PM41851";"M-30";435263.190541047;4472587.08571731
"PM11071";6679;"PM11071";"M-30";442838.681350123;4471877.58481976
"PM21236";6764;"PM21236";"M-30";441712.095959466;4470549.81702044
"PM10021";6641;"PM10021";"M-30";442975.710559461;4481531.42366198
"PM10091";6642;"PM10091";"M-30";442944.806888297;4481020.82575089
"PM10092";6643;"PM10092";"M-30";442929.093549193;4481014.48034743
"PM40001";6639;"PM40001";"M-30";443198.010949101;4482754.78125069
"10XC82PM01";6892;"10XC82PM01";"M-30";442929.495959317;4471853.30218146
"PM41261";3761;"PM41261";"M-30";441509.872128854;4470509.78837708
"PM41262";3762;"PM41262";"M-30";441515.607653078;4470496.61298282
"PM41301";3763;"PM41301";"M-30";441131.864602113;4469595.18858161
"PM41302";3703;"PM41302";"M-30";441138.677312528;4469595.61342412
"PM43012";6803;"PM43012";"M-30";440982.54379628;4482367.51365285
"PM43021";6804;"PM43021";"M-30";440793.47621133;4483021.16322879
